序号,参数名,中文名,下界,上界,真值,ΔR/R[%],ΔC/C[%],max_rel[%],敏感性
2,eta_t,涡轮绝热效率,0.86,0.92,0.89,4.303038,4.315571,4.315571,敏感
1,eta_k,压气机绝热效率,0.84,0.86,0.85,1.899174,0.404630,1.899174,敏感
12,eta_T,燃烧放热系数,0.97,0.99,0.98,1.671706,1.672225,1.672225,敏感
3,eta_m,机械效率,0.98,0.995,0.988,1.245280,1.246528,1.246528,敏感
4,eta_v,风扇效率,0.85,0.87,0.86,1.019702,1.019755,1.019755,敏感
5,eta_tv,风扇涡轮效率,0.9,0.92,0.91,0.963673,0.963718,0.963718,不敏感
7,eta_c2,二次喷管效率,0.92,0.94,0.93,0.942949,0.942990,0.942990,不敏感
11,sigma_ks,燃烧室总压恢复系数,0.94,0.96,0.95,0.569145,0.569175,0.569175,不敏感
8,sigma_cc,进气道激波总压恢复系数,0.98,1.0,0.99,0.546146,0.546173,0.546173,不敏感
9,sigma_kan,进气通道总压恢复系数,0.98,0.99,0.985,0.274446,0.274449,0.274449,不敏感
10,sigma_kask,压气机级间总压恢复系数,0.98,0.99,0.985,0.274446,0.274449,0.274449,不敏感
13,lambda,风扇涡轮热恢复系数,1.02,1.04,1.03,0.119483,0.119483,0.119483,不敏感
6,eta_c1,一次喷管效率,0.94,0.95,0.945,0.065115,0.065115,0.065115,不敏感
